Índice de Gini da renda domiciliar per capita segundo Município - São Paulo;;;
Período: 1991, 2000 e 2010;;;
Município;1991;2000;2010
350010 Adamantina;0,5718;0,5494;0,5151
350020 Adolfo;0,4093;0,3904;0,4111
350030 Aguaí;0,4792;0,557;0,4804
350040 Águas da Prata;0,541;0,5462;0,5305
350050 Águas de Lindóia;0,5964;0,5421;0,4612
350055 Águas de Santa Bárbara;0,5625;0,5211;0,4948
350060 Águas de São Pedro;0,5391;0,575;0,5438
350070 Agudos;0,4658;0,5435;0,4306
350075 Alambari;...;0,495;0,4449
350080 Alfredo Marcondes;0,5604;0,5353;0,3639
350090 Altair;0,4269;0,505;0,4243
350100 Altinópolis;0,554;0,6431;0,4467
350110 Alto Alegre;0,491;0,4767;0,3638
350115 Alumínio;...;0,443;0,4285
350120 Álvares Florence;0,4789;0,5377;0,4169
350130 Álvares Machado;0,4887;0,5473;0,4657
350140 Álvaro de Carvalho;0,4401;0,403;0,3867
350150 Alvinlândia;0,46;0,4831;0,5333
350160 Americana;0,4645;0,4972;0,4693
350170 Américo Brasiliense;0,3407;0,4788;0,3972
350180 Américo de Campos;0,5143;0,4835;0,4367
350190 Amparo;0,4652;0,5374;0,4977
350200 Analândia;0,491;0,509;0,5326
350210 Andradina;0,5251;0,5889;0,5204
350220 Angatuba;0,5358;0,5611;0,4496
350230 Anhembi;0,4681;0,5632;0,4241
350240 Anhumas;0,4459;0,4668;0,4225
350250 Aparecida;0,5751;0,545;0,4861
350260 Aparecida d'Oeste;0,5712;0,553;0,4716
350270 Apiaí;0,5704;0,6198;0,5556
350275 Araçariguama;...;0,5378;0,4695
350280 Araçatuba;0,5548;0,6297;0,54
350290 Araçoiaba da Serra;0,5091;0,5338;0,5332
350300 Aramina;0,4589;0,4859;0,4301
350310 Arandu;0,4979;0,4465;0,3922
350315 Arapeí;...;0,4509;0,3981
350320 Araraquara;0,4843;0,5295;0,5039
350330 Araras;0,4795;0,4936;0,4815
350335 Arco-Íris;...;0,4083;0,4082
350340 Arealva;0,4828;0,5119;0,4514
350350 Areias;0,6015;0,6466;0,4597
350360 Areiópolis;0,3192;0,4611;0,3658
350370 Ariranha;0,5015;0,3959;0,403
350380 Artur Nogueira;0,4953;0,5036;0,4709
350390 Arujá;0,59;0,5819;0,5769
350395 Aspásia;...;0,5474;0,4651
350400 Assis;0,5257;0,5541;0,504
350410 Atibaia;0,5512;0,574;0,5512
350420 Auriflama;0,5472;0,6203;0,4741
350430 Avaí;0,4788;0,4834;0,4875
350440 Avanhandava;0,5493;0,5361;0,4415
350450 Avaré;0,5513;0,5695;0,4795
350460 Bady Bassitt;0,4989;0,4594;0,3665
350470 Balbinos;0,4161;0,4682;0,3839
350480 Bálsamo;0,4789;0,6228;0,4387
350490 Bananal;0,6132;0,5945;0,5145
350500 Barão de Antonina;0,5789;0,5321;0,4772
350510 Barbosa;0,4405;0,4925;0,4129
350520 Bariri;0,4864;0,5038;0,4305
350530 Barra Bonita;0,4847;0,5025;0,454
350535 Barra do Chapéu;...;0,5954;0,5492
350540 Barra do Turvo;0,5246;0,6198;0,5043
350550 Barretos;0,5453;0,5707;0,4893
350560 Barrinha;0,4266;0,4806;0,4084
350570 Barueri;0,6138;0,6904;0,6201
350580 Bastos;0,6742;0,5137;0,4175
350590 Batatais;0,5162;0,5234;0,5
350600 Bauru;0,5244;0,5828;0,5596
350610 Bebedouro;0,4953;0,5652;0,508
350620 Bento de Abreu;0,5545;0,384;0,3847
350630 Bernardino de Campos;0,5151;0,5388;0,456
350635 Bertioga;...;0,5229;0,4924
350640 Bilac;0,4808;0,4906;0,4309
350650 Birigui;0,4683;0,5258;0,4286
350660 Biritiba-Mirim;0,5184;0,5321;0,5377
350670 Boa Esperança do Sul;0,4572;0,5869;0,4439
350680 Bocaina;0,463;0,4587;0,4343
350690 Bofete;0,5031;0,6198;0,4729
350700 Boituva;0,4917;0,5181;0,4937
350710 Bom Jesus dos Perdões;0,5314;0,4955;0,4914
350715 Bom Sucesso de Itararé;...;0,605;0,4456
350720 Borá;0,4312;0,5355;0,4002
350730 Boracéia;0,4318;0,4888;0,3879
350740 Borborema;0,5898;0,5104;0,4279
350745 Borebi;...;0,4029;0,3993
350750 Botucatu;0,5248;0,5456;0,556
350760 Bragança Paulista;0,5353;0,5423;0,5271
350770 Braúna;0,5091;0,466;0,4327
350775 Brejo Alegre;...;0,472;0,3982
350780 Brodowski;0,4467;0,4234;0,4451
350790 Brotas;0,5086;0,5508;0,4204
350800 Buri;0,5345;0,5237;0,513
350810 Buritama;0,4775;0,5731;0,4469
350820 Buritizal;0,436;0,4628;0,4663
350830 Cabrália Paulista;0,6127;0,433;0,405
350840 Cabreúva;0,5318;0,478;0,4225
350850 Caçapava;0,5279;0,5337;0,5105
350860 Cachoeira Paulista;0,5859;0,5519;0,5284
350870 Caconde;0,5193;0,5924;0,5006
350880 Cafelândia;0,534;0,5592;0,4757
350890 Caiabu;0,4057;0,4147;0,3816
350900 Caieiras;0,4396;0,5063;0,4801
350910 Caiuá;0,4361;0,4855;0,4635
350920 Cajamar;0,4701;0,5705;0,4904
350925 Cajati;...;0,556;0,4837
350930 Cajobi;0,4541;0,5202;0,4073
350940 Cajuru;0,5649;0,5276;0,4036
350945 Campina do Monte Alegre;...;0,499;0,4945
350950 Campinas;0,533;0,5861;0,5782
350960 Campo Limpo Paulista;0,4565;0,5273;0,4352
350970 Campos do Jordão;0,5224;0,5529;0,5914
350980 Campos Novos Paulista;0,4818;0,5657;0,4379
350990 Cananéia;0,5661;0,5841;0,501
350995 Canas;...;0,4153;0,4337
351000 Cândido Mota;0,5704;0,5327;0,424
351010 Cândido Rodrigues;0,3772;0,4497;0,4814
351015 Canitar;...;0,3955;0,4056
351020 Capão Bonito;0,5528;0,6082;0,5011
351030 Capela do Alto;0,4839;0,499;0,4022
351040 Capivari;0,4857;0,4985;0,4759
351050 Caraguatatuba;0,5453;0,5589;0,5202
351060 Carapicuíba;0,4333;0,4828;0,4965
351070 Cardoso;0,6116;0,5626;0,4361
351080 Casa Branca;0,5455;0,5449;0,5122
351090 Cássia dos Coqueiros;0,5186;0,5505;0,4352
351100 Castilho;0,5837;0,5545;0,4803
351110 Catanduva;0,5145;0,5336;0,4651
351120 Catiguá;0,3528;0,4303;0,4317
351130 Cedral;0,5;0,4922;0,4362
351140 Cerqueira César;0,5902;0,5054;0,4352
351150 Cerquilho;0,5111;0,5141;0,4199
351160 Cesário Lange;0,4885;0,4699;0,438
351170 Charqueada;0,4146;0,4802;0,4061
355720 Chavantes;0,4973;0,5158;0,481
351190 Clementina;0,5248;0,4237;0,3761
351200 Colina;0,5381;0,5628;0,4614
351210 Colômbia;0,5125;0,5893;0,4084
351220 Conchal;0,4779;0,5389;0,4477
351230 Conchas;0,521;0,5664;0,4896
351240 Cordeirópolis;0,4431;0,4881;0,4531
351250 Coroados;0,5232;0,5214;0,3888
351260 Coronel Macedo;0,5344;0,5626;0,4595
351270 Corumbataí;0,477;0,5088;0,4815
351280 Cosmópolis;0,4284;0,4969;0,4586
351290 Cosmorama;0,5751;0,5035;0,4106
351300 Cotia;0,5783;0,6196;0,5872
351310 Cravinhos;0,5559;0,5138;0,4302
351320 Cristais Paulista;0,4841;0,5194;0,4841
351330 Cruzália;0,6805;0,6489;0,4393
351340 Cruzeiro;0,5335;0,5589;0,5396
351350 Cubatão;0,4373;0,4909;0,472
351360 Cunha;0,5896;0,5529;0,5477
351370 Descalvado;0,5186;0,5518;0,4573
351380 Diadema;0,4286;0,4843;0,4592
351385 Dirce Reis;...;0,457;0,3784
351390 Divinolândia;0,5315;0,4986;0,4833
351400 Dobrada;0,3827;0,4588;0,3872
351410 Dois Córregos;0,4997;0,5073;0,4723
351420 Dolcinópolis;0,3572;0,4972;0,3627
351430 Dourado;0,5245;0,4592;0,3794
351440 Dracena;0,525;0,5965;0,447
351450 Duartina;0,5631;0,5102;0,4323
351460 Dumont;0,4595;0,4851;0,3911
351470 Echaporã;0,5939;0,5267;0,5424
351480 Eldorado;0,6345;0,6099;0,5042
351490 Elias Fausto;0,542;0,5072;0,4343
351492 Elisiário;...;0,3708;0,3343
351495 Embaúba;...;0,5115;0,3658
351500 Embu das Artes;0,4977;0,4863;0,4903
351510 Embu-Guaçu;0,4737;0,5516;0,5155
351512 Emilianópolis;...;0,7657;0,385
351515 Engenheiro Coelho;...;0,5152;0,4589
351518 Espírito Santo do Pinhal;0,518;0,4848;0,5731
351519 Espírito Santo do Turvo;...;0,4641;0,3863
355730 Estiva Gerbi;...;0,4038;0,4192
351530 Estrela do Norte;0,4149;0,5427;0,439
351520 Estrela d'Oeste;0,5603;0,4798;0,3969
351535 Euclides da Cunha Paulista;...;0,5124;0,4566
351540 Fartura;0,5534;0,5469;0,4353
351560 Fernando Prestes;0,4261;0,4834;0,4176
351550 Fernandópolis;0,5492;0,5469;0,4941
351565 Fernão;...;0,5831;0,4084
351570 Ferraz de Vasconcelos;0,4656;0,4879;0,4559
351580 Flora Rica;0,6051;0,4649;0,4179
351590 Floreal;0,4765;0,5031;0,3757
351600 Flórida Paulista;0,4898;0,5232;0,4286
351610 Florínia;0,4629;0,4611;0,4944
351620 Franca;0,4648;0,5097;0,4665
351630 Francisco Morato;0,4462;0,4842;0,4361
351640 Franco da Rocha;0,4394;0,4944;0,4646
351650 Gabriel Monteiro;0,5614;0,4149;0,3736
351660 Gália;0,5682;0,5478;0,4265
351670 Garça;0,5764;0,5347;0,5075
351680 Gastão Vidigal;0,5308;0,5498;0,43
351685 Gavião Peixoto;...;0,4706;0,361
351690 General Salgado;0,5086;0,564;0,4588
351700 Getulina;0,5429;0,5569;0,4708
351710 Glicério;0,4171;0,5357;0,5224
351720 Guaiçara;0,5024;0,4839;0,3781
351730 Guaimbê;0,6037;0,5437;0,4057
351740 Guaíra;0,4871;0,5397;0,5207
351750 Guapiaçu;0,4135;0,532;0,4238
351760 Guapiara;0,5629;0,7005;0,5657
351770 Guará;0,4758;0,5456;0,4908
351780 Guaraçaí;0,6159;0,5192;0,43
351790 Guaraci;0,4991;0,4904;0,4178
351800 Guarani d'Oeste;0,5933;0,5278;0,4101
351810 Guarantã;0,5953;0,585;0,4907
351820 Guararapes;0,5656;0,5194;0,4328
351830 Guararema;0,5542;0,6019;0,5061
351840 Guaratinguetá;0,6671;0,5804;0,5478
351850 Guareí;0,6251;0,5081;0,4349
351860 Guariba;0,4657;0,5164;0,4388
351870 Guarujá;0,487;0,5289;0,5191
351880 Guarulhos;0,4888;0,5457;0,5345
351885 Guatapará;...;0,508;0,5218
351890 Guzolândia;0,5123;0,4202;0,4181
351900 Herculândia;0,6595;0,5285;0,4527
351905 Holambra;...;0,5649;0,5471
351907 Hortolândia;...;0,467;0,4251
351910 Iacanga;0,5829;0,4684;0,3984
351920 Iacri;0,5982;0,5293;0,4454
351925 Iaras;...;0,4523;0,5257
351930 Ibaté;0,3722;0,4428;0,4003
351940 Ibirá;0,4683;0,5421;0,4896
351950 Ibirarema;0,4842;0,5622;0,4352
351960 Ibitinga;0,5192;0,5119;0,4478
351970 Ibiúna;0,6162;0,5451;0,4978
351980 Icém;0,5145;0,5424;0,4477
351990 Iepê;0,4432;0,5747;0,4632
352000 Igaraçu do Tietê;0,3415;0,4515;0,3687
352010 Igarapava;0,5031;0,5038;0,6747
352020 Igaratá;0,4882;0,5335;0,4306
352030 Iguape;0,5321;0,6081;0,5612
352042 Ilha Comprida;...;0,5836;0,4814
352044 Ilha Solteira;...;0,4814;0,4827
352040 Ilhabela;0,5398;0,5643;0,4969
352050 Indaiatuba;0,467;0,5558;0,4865
352060 Indiana;0,4447;0,5355;0,4517
352070 Indiaporã;0,543;0,564;0,4781
352080 Inúbia Paulista;0,3833;0,4502;0,3724
352090 Ipaussu;0,4368;0,486;0,4791
352100 Iperó;0,4581;0,4961;0,414
352110 Ipeúna;0,475;0,5138;0,4699
352115 Ipiguá;...;0,4843;0,3772
352120 Iporanga;0,5668;0,5779;0,5318
352130 Ipuã;0,4703;0,5554;0,5976
352140 Iracemápolis;0,4774;0,4932;0,4534
352150 Irapuã;0,4612;0,4826;0,3642
352160 Irapuru;0,6531;0,5576;0,4474
352170 Itaberá;0,6765;0,6293;0,5151
352180 Itaí;0,544;0,5361;0,4585
352190 Itajobi;0,4831;0,4731;0,3933
352200 Itaju;0,4151;0,4112;0,3754
352210 Itanhaém;0,5235;0,5571;0,514
352215 Itaóca;...;0,6379;0,5512
352220 Itapecerica da Serra;0,5726;0,5539;0,4756
352230 Itapetininga;0,5333;0,5593;0,501
352240 Itapeva;0,5905;0,6153;0,5393
352250 Itapevi;0,4671;0,5135;0,4738
352260 Itapira;0,4723;0,5212;0,4611
352265 Itapirapuã Paulista;...;0,7063;0,5351
352270 Itápolis;0,477;0,5462;0,4538
352280 Itaporanga;0,5843;0,591;0,5362
352290 Itapuí;0,4965;0,4455;0,4227
352300 Itapura;0,4362;0,4954;0,4804
352310 Itaquaquecetuba;0,4309;0,4981;0,4556
352320 Itararé;0,5901;0,6257;0,4894
352330 Itariri;0,6055;0,6022;0,526
352340 Itatiba;0,482;0,5261;0,4965
352350 Itatinga;0,5449;0,4895;0,4338
352360 Itirapina;0,4851;0,5452;0,4866
352370 Itirapuã;0,4245;0,5245;0,4415
352380 Itobi;0,5495;0,5103;0,4085
352390 Itu;0,5012;0,5719;0,5398
352400 Itupeva;0,5144;0,5369;0,4488
352410 Ituverava;0,5419;0,5915;0,5264
352420 Jaborandi;0,4995;0,488;0,3953
352430 Jaboticabal;0,5352;0,5298;0,5279
352440 Jacareí;0,5597;0,5255;0,4993
352450 Jaci;0,3972;0,4719;0,3551
352460 Jacupiranga;0,5397;0,6102;0,5338
352470 Jaguariúna;0,5785;0,5449;0,502
352480 Jales;0,5506;0,5111;0,4635
352490 Jambeiro;0,5572;0,5438;0,4912
352500 Jandira;0,4132;0,5128;0,4937
352510 Jardinópolis;0,5181;0,5264;0,5077
352520 Jarinu;0,5589;0,5714;0,4659
352530 Jaú;0,4283;0,4977;0,4638
352540 Jeriquara;0,4447;0,5143;0,4196
352550 Joanópolis;0,4774;0,5115;0,4434
352560 João Ramalho;0,4555;0,4909;0,4235
352570 José Bonifácio;0,4841;0,5649;0,4555
352580 Júlio Mesquita;0,4155;0,5599;0,4153
352585 Jumirim;...;0,3993;0,3971
352590 Jundiaí;0,491;0,5434;0,5435
352600 Junqueirópolis;0,5455;0,5386;0,4432
352610 Juquiá;0,4894;0,6338;0,4947
352620 Juquitiba;0,5095;0,5242;0,5159
352630 Lagoinha;0,5406;0,5327;0,4855
352640 Laranjal Paulista;0,479;0,5357;0,4197
352650 Lavínia;0,5713;0,5164;0,3885
352660 Lavrinhas;0,6858;0,5112;0,5808
352670 Leme;0,4494;0,5283;0,4806
352680 Lençóis Paulista;0,484;0,5216;0,4426
352690 Limeira;0,4722;0,5299;0,4956
352700 Lindóia;0,4903;0,4605;0,4059
352710 Lins;0,5562;0,5672;0,4601
352720 Lorena;0,5742;0,5512;0,531
352725 Lourdes;...;0,4687;0,3799
352730 Louveira;0,4603;0,4802;0,519
352740 Lucélia;0,518;0,5491;0,4711
352750 Lucianópolis;0,4342;0,434;0,5154
352760 Luís Antônio;0,4243;0,5221;0,4275
352770 Luiziânia;0,5033;0,4684;0,3607
352780 Lupércio;0,5372;0,4495;0,408
352790 Lutécia;0,5457;0,4798;0,4316
352800 Macatuba;0,4415;0,4623;0,5506
352810 Macaubal;0,5482;0,5051;0,4308
352820 Macedônia;0,519;0,4526;0,4264
352830 Magda;0,503;0,5408;0,4433
352840 Mairinque;0,4421;0,5089;0,4804
352850 Mairiporã;0,609;0,6368;0,581
352860 Manduri;0,5603;0,4842;0,4809
352870 Marabá Paulista;0,4455;0,5149;0,3962
352880 Maracaí;0,5708;0,4566;0,4255
352885 Marapoama;...;0,4122;0,4231
352890 Mariápolis;0,6815;0,4382;0,3846
352900 Marília;0,555;0,5664;0,5117
