Índice de Gini da renda domiciliar per capita segundo Município - São Paulo;;;
352910 Marinópolis;0,5658;0,4168;0,4291
352920 Martinópolis;0,5937;0,5443;0,4551
352930 Matão;0,46;0,5308;0,531
352940 Mauá;0,4289;0,4907;0,458
352950 Mendonça;0,6589;0,5807;0,3691
352960 Meridiano;0,5301;0,432;0,4053
352965 Mesópolis;...;0,4724;0,3757
352970 Miguelópolis;0,5637;0,589;0,458
352980 Mineiros do Tietê;0,4164;0,4847;0,4026
353000 Mira Estrela;0,808;0,463;0,4294
352990 Miracatu;0,6054;0,5992;0,509
353010 Mirandópolis;0,556;0,5223;0,4668
353020 Mirante do Paranapanema;0,4947;0,6179;0,5054
353030 Mirassol;0,4663;0,4831;0,4659
353040 Mirassolândia;0,4248;0,427;0,4008
353050 Mococa;0,5306;0,5409;0,5392
353060 Mogi das Cruzes;0,5457;0,5817;0,5487
353070 Mogi Guaçu;0,4736;0,5164;0,4457
353080 Moji Mirim;0,4932;0,5313;0,5013
353090 Mombuca;0,5398;0,6339;0,6513
353100 Monções;0,42;0,4626;0,4322
353110 Mongaguá;0,4975;0,5829;0,5232
353120 Monte Alegre do Sul;0,3975;0,5003;0,4774
353130 Monte Alto;0,4678;0,5107;0,4204
353140 Monte Aprazível;0,5286;0,5179;0,5067
353150 Monte Azul Paulista;0,5382;0,5999;0,465
353160 Monte Castelo;0,4762;0,5444;0,3925
353180 Monte Mor;0,5377;0,5174;0,4557
353170 Monteiro Lobato;0,6218;0,6172;0,4953
353190 Morro Agudo;0,5241;0,553;0,462
353200 Morungaba;0,4818;0,5054;0,4503
353205 Motuca;...;0,4704;0,4843
353210 Murutinga do Sul;0,5301;0,4775;0,4357
353215 Nantes;...;0,4948;0,353
353220 Narandiba;0,4755;0,5574;0,3732
353230 Natividade da Serra;0,4665;0,528;0,5216
353240 Nazaré Paulista;0,5896;0,5608;0,4746
353250 Neves Paulista;0,4895;0,4895;0,4056
353260 Nhandeara;0,5905;0,5167;0,4995
353270 Nipoã;0,4725;0,4709;0,3705
353280 Nova Aliança;0,5524;0,4512;0,3917
353282 Nova Campina;...;0,6341;0,468
353284 Nova Canaã Paulista;...;0,4588;0,3427
353286 Nova Castilho;...;0,4656;0,3727
353290 Nova Europa;0,5023;0,4665;0,3927
353300 Nova Granada;0,5179;0,5019;0,4487
353310 Nova Guataporanga;0,427;0,4032;0,4139
353320 Nova Independência;0,4535;0,4825;0,361
353330 Nova Luzitânia;0,4618;0,4591;0,3652
353340 Nova Odessa;0,411;0,457;0,4236
353325 Novais;...;0,4624;0,4523
353350 Novo Horizonte;0,4874;0,5001;0,4534
353360 Nuporanga;0,5278;0,5062;0,4488
353370 Ocauçu;0,4818;0,5449;0,3956
353380 Óleo;0,4384;0,4742;0,4245
353390 Olímpia;0,502;0,5969;0,4429
353400 Onda Verde;0,4579;0,4459;0,3511
353410 Oriente;0,4498;0,493;0,4519
353420 Orindiúva;0,6177;0,5058;0,3815
353430 Orlândia;0,5053;0,5034;0,5034
353440 Osasco;0,4725;0,5226;0,5459
353450 Oscar Bressane;0,5183;0,5155;0,4496
353460 Osvaldo Cruz;0,5616;0,5274;0,4727
353470 Ourinhos;0,5178;0,5355;0,5117
353480 Ouro Verde;0,5337;0,4276;0,4004
353475 Ouroeste;...;0,543;0,4358
353490 Pacaembu;0,5239;0,5423;0,4579
353500 Palestina;0,5922;0,5034;0,4067
353510 Palmares Paulista;0,3925;0,4243;0,341
353520 Palmeira d'Oeste;0,6155;0,5078;0,4283
353530 Palmital;0,5256;0,6592;0,4648
353540 Panorama;0,5179;0,6227;0,4643
353550 Paraguaçu Paulista;0,5081;0,5899;0,4641
353560 Paraibuna;0,5798;0,5464;0,5208
353570 Paraíso;0,4643;0,465;0,4544
353580 Paranapanema;0,5073;0,6027;0,4954
353590 Paranapuã;0,5083;0,4849;0,4498
353600 Parapuã;0,5339;0,7057;0,4203
353610 Pardinho;0,4314;0,481;0,4629
353620 Pariquera-Açu;0,5508;0,5856;0,4754
353625 Parisi;...;0,356;0,4021
353630 Patrocínio Paulista;0,4852;0,5277;0,4254
353640 Paulicéia;0,4081;0,5654;0,4417
353650 Paulínia;0,49;0,5734;0,488
353657 Paulistânia;...;0,4925;0,4293
353660 Paulo de Faria;0,5549;0,6085;0,5305
353670 Pederneiras;0,5076;0,5075;0,5021
353680 Pedra Bela;0,4475;0,4615;0,4069
353690 Pedranópolis;0,5248;0,4689;0,3776
353700 Pedregulho;0,4972;0,5323;0,4975
353710 Pedreira;0,5013;0,4671;0,4261
353715 Pedrinhas Paulista;...;0,5563;0,5619
353720 Pedro de Toledo;0,5024;0,5935;0,4794
353730 Penápolis;0,5346;0,5585;0,4742
353740 Pereira Barreto;0,5025;0,566;0,4931
353750 Pereiras;0,5164;0,5139;0,4435
353760 Peruíbe;0,587;0,5877;0,547
353770 Piacatu;0,4449;0,4816;0,4064
353780 Piedade;0,4782;0,5998;0,4913
353790 Pilar do Sul;0,5609;0,6588;0,4698
353800 Pindamonhangaba;0,5662;0,5699;0,5227
353810 Pindorama;0,4512;0,4619;0,4042
353820 Pinhalzinho;0,546;0,4882;0,4214
353830 Piquerobi;0,5272;0,562;0,4178
353850 Piquete;0,5315;0,5084;0,4977
353860 Piracaia;0,5262;0,5195;0,5854
353870 Piracicaba;0,5023;0,5399;0,5398
353880 Piraju;0,5534;0,5543;0,4859
353890 Pirajuí;0,5322;0,5068;0,4798
353900 Pirangi;0,5748;0,4418;0,3808
353910 Pirapora do Bom Jesus;0,4824;0,5632;0,4885
353920 Pirapozinho;0,5315;0,5511;0,5286
353930 Pirassununga;0,5412;0,5104;0,521
353940 Piratininga;0,6677;0,526;0,4783
353950 Pitangueiras;0,4712;0,5081;0,4237
353960 Planalto;0,4315;0,6584;0,3858
353970 Platina;0,4664;0,4714;0,496
353980 Poá;0,4471;0,5125;0,4461
353990 Poloni;0,5378;0,5288;0,3931
354000 Pompéia;0,4816;0,5134;0,4913
354010 Pongaí;0,5076;0,5468;0,4564
354020 Pontal;0,455;0,6303;0,4598
354025 Pontalinda;...;0,4045;0,3806
354030 Pontes Gestal;0,3947;0,5746;0,3836
354040 Populina;0,5278;0,4873;0,4151
354050 Porangaba;0,5427;0,4549;0,5061
354060 Porto Feliz;0,5081;0,4843;0,4586
354070 Porto Ferreira;0,4662;0,5105;0,4592
354075 Potim;...;0,4686;0,3708
354080 Potirendaba;0,4826;0,4669;0,4032
354085 Pracinha;...;0,384;0,391
354090 Pradópolis;0,4081;0,4576;0,4638
354100 Praia Grande;0,4959;0,5717;0,5108
354105 Pratânia;...;0,6276;0,3974
354110 Presidente Alves;0,5184;0,4709;0,482
354120 Presidente Bernardes;0,5674;0,5363;0,4767
354130 Presidente Epitácio;0,5933;0,5722;0,4855
354140 Presidente Prudente;0,5628;0,5947;0,5444
354150 Presidente Venceslau;0,5536;0,5922;0,5094
354160 Promissão;0,5028;0,5057;0,4395
354165 Quadra;...;0,4949;0,4908
354170 Quatá;0,4895;0,538;0,4175
354180 Queiroz;0,4915;0,3844;0,43
354190 Queluz;0,5464;0,6084;0,4711
354200 Quintana;0,5403;0,5302;0,4324
354210 Rafard;0,4695;0,4336;0,4017
354220 Rancharia;0,515;0,5388;0,4694
354230 Redenção da Serra;0,5198;0,5216;0,4724
354240 Regente Feijó;0,4736;0,5454;0,467
354250 Reginópolis;0,4654;0,4905;0,4083
354260 Registro;0,6276;0,637;0,5335
354270 Restinga;0,423;0,4411;0,392
354280 Ribeira;0,5496;0,5372;0,4766
354290 Ribeirão Bonito;0,4957;0,5314;0,4627
354300 Ribeirão Branco;0,534;0,5899;0,4811
354310 Ribeirão Corrente;0,3729;0,4315;0,4217
354320 Ribeirão do Sul;0,4368;0,4472;0,5937
354323 Ribeirão dos Índios;...;0,419;0,3794
354325 Ribeirão Grande;...;0,6277;0,4232
354330 Ribeirão Pires;0,4721;0,5191;0,4751
354340 Ribeirão Preto;0,5329;0,5647;0,5458
354360 Rifaina;0,434;0,4845;0,4513
354370 Rincão;0,4342;0,4688;0,4472
354380 Rinópolis;0,5384;0,5306;0,4384
354390 Rio Claro;0,4979;0,5417;0,5081
354400 Rio das Pedras;0,5056;0,4991;0,4588
354410 Rio Grande da Serra;0,422;0,4624;0,4048
354420 Riolândia;0,5233;0,6039;0,4014
354350 Riversul;0,5652;0,5578;0,5152
354425 Rosana;...;0,6059;0,6092
354430 Roseira;0,5344;0,507;0,4355
354440 Rubiácea;0,6463;0,4981;0,367
354450 Rubinéia;0,5508;0,4665;0,4037
354460 Sabino;0,4501;0,5258;0,4128
354470 Sagres;0,479;0,4426;0,4769
354480 Sales;0,4673;0,5058;0,4184
354490 Sales Oliveira;0,5858;0,4967;0,4403
354500 Salesópolis;0,5174;0,5563;0,4249
354510 Salmourão;0,4548;0,4183;0,3921
354515 Saltinho;...;0,4726;0,3947
354520 Salto;0,4607;0,5103;0,4544
354530 Salto de Pirapora;0,4814;0,4871;0,4546
354540 Salto Grande;0,515;0,5552;0,4376
354550 Sandovalina;0,4803;0,5218;0,4337
354560 Santa Adélia;0,4259;0,4674;0,4369
354570 Santa Albertina;0,5519;0,6445;0,4236
354580 Santa Bárbara d'Oeste;0,3961;0,447;0,4188
354600 Santa Branca;0,6399;0,5153;0,478
354610 Santa Clara d'Oeste;0,4134;0,4625;0,4557
354620 Santa Cruz da Conceição;0,6322;0,5165;0,6755
354625 Santa Cruz da Esperança;...;0,5621;0,5311
354630 Santa Cruz das Palmeiras;0,4339;0,519;0,5206
354640 Santa Cruz do Rio Pardo;0,5289;0,5385;0,4639
354650 Santa Ernestina;0,4076;0,4693;0,4297
354660 Santa Fé do Sul;0,4949;0,5775;0,4983
354670 Santa Gertrudes;0,4246;0,4239;0,3857
354680 Santa Isabel;0,4659;0,5267;0,4727
354690 Santa Lúcia;0,5096;0,451;0,3912
354700 Santa Maria da Serra;0,3971;0,4662;0,475
354710 Santa Mercedes;0,5772;0,5316;0,4031
354750 Santa Rita do Passa Quatro;0,481;0,5603;0,4884
354740 Santa Rita d'Oeste;0,5477;0,4976;0,3897
354760 Santa Rosa de Viterbo;0,4785;0,5384;0,5115
354765 Santa Salete;...;0,4502;0,3465
354720 Santana da Ponte Pensa;0,3923;0,482;0,4222
354730 Santana de Parnaíba;0,7286;0,7224;0,6858
354770 Santo Anastácio;0,5875;0,5547;0,5341
354780 Santo André;0,4803;0,5324;0,5428
354790 Santo Antônio da Alegria;0,5791;0,5186;0,4178
354800 Santo Antônio de Posse;0,5651;0,5478;0,4586
354805 Santo Antônio do Aracanguá;...;0,4347;0,4127
354810 Santo Antônio do Jardim;0,5331;0,4615;0,4296
354820 Santo Antônio do Pinhal;0,5722;0,5789;0,476
354830 Santo Expedito;0,508;0,5275;0,4174
354840 Santópolis do Aguapeí;0,5448;0,4645;0,3517
354850 Santos;0,5218;0,536;0,5624
354860 São Bento do Sapucaí;0,5839;0,5374;0,5567
354870 São Bernardo do Campo;0,5087;0,5556;0,5525
354880 São Caetano do Sul;0,4796;0,5047;0,548
354890 São Carlos;0,5033;0,525;0,4986
354900 São Francisco;0,5303;0,4728;0,4598
354910 São João da Boa Vista;0,5122;0,537;0,5152
354920 São João das Duas Pontes;0,4679;0,5875;0,3638
354925 São João de Iracema;...;0,6636;0,3692
354930 São João do Pau d'Alho;0,4982;0,4419;0,3339
354940 São Joaquim da Barra;0,5102;0,5396;0,4186
354950 São José da Bela Vista;0,5392;0,4814;0,4646
354960 São José do Barreiro;0,5962;0,6657;0,5483
354970 São José do Rio Pardo;0,5428;0,5208;0,4936
354980 São José do Rio Preto;0,5035;0,5607;0,5081
354990 São José dos Campos;0,5355;0,5742;0,5633
354995 São Lourenço da Serra;...;0,5881;0,5148
355000 São Luís do Paraitinga;0,5046;0,5381;0,4836
355010 São Manuel;0,5088;0,518;0,4607
355020 São Miguel Arcanjo;0,5851;0,5438;0,5822
355030 São Paulo;0,5706;0,6182;0,6453
355040 São Pedro;0,502;0,5234;0,4772
355050 São Pedro do Turvo;0,4489;0,4816;0,3898
355060 São Roque;0,5474;0,6097;0,5109
355070 São Sebastião;0,5097;0,5557;0,5022
355080 São Sebastião da Grama;0,5768;0,5186;0,4156
355090 São Simão;0,5579;0,5385;0,4603
355100 São Vicente;0,493;0,5225;0,4892
355110 Sarapuí;0,5007;0,6305;0,5133
355120 Sarutaiá;0,6029;0,4927;0,4451
355130 Sebastianópolis do Sul;0,651;0,4144;0,4262
355140 Serra Azul;0,3825;0,4979;0,4573
355160 Serra Negra;0,5389;0,5479;0,4836
355150 Serrana;0,4401;0,4457;0,3819
355170 Sertãozinho;0,5088;0,5213;0,4749
355180 Sete Barras;0,5669;0,5844;0,5156
355190 Severínia;0,5893;0,5196;0,4195
355200 Silveiras;0,5981;0,5976;0,4803
355210 Socorro;0,4912;0,4986;0,4524
355220 Sorocaba;0,5088;0,5544;0,529
355230 Sud Mennucci;0,538;0,5368;0,5411
355240 Sumaré;0,4265;0,4731;0,4737
355255 Suzanápolis;...;0,5028;0,4214
355250 Suzano;0,5057;0,5654;0,491
355260 Tabapuã;0,5156;0,497;0,3973
355270 Tabatinga;0,4907;0,5336;0,4073
355280 Taboão da Serra;0,455;0,5317;0,4903
355290 Taciba;0,4251;0,5567;0,3861
355300 Taguaí;0,5229;0,5044;0,3719
355310 Taiaçu;0,4099;0,5229;0,4222
355320 Taiúva;0,5055;0,5406;0,4237
355330 Tambaú;0,4519;0,4768;0,4526
355340 Tanabi;0,4988;0,5334;0,4211
355350 Tapiraí;0,4894;0,5766;0,4437
355360 Tapiratiba;0,3914;0,5049;0,4057
355365 Taquaral;...;0,4528;0,5192
355370 Taquaritinga;0,5172;0,5628;0,4679
355380 Taquarituba;0,5792;0,5876;0,495
355385 Taquarivaí;...;0,6338;0,4375
355390 Tarabai;0,4606;0,4678;0,3988
355395 Tarumã;...;0,5;0,5488
355400 Tatuí;0,4796;0,5305;0,4776
355410 Taubaté;0,5415;0,5767;0,5181
355420 Tejupá;0,4219;0,5734;0,4807
355430 Teodoro Sampaio;0,5748;0,6822;0,4742
355440 Terra Roxa;0,4704;0,4477;0,4519
355450 Tietê;0,4699;0,5294;0,4937
355460 Timburi;0,5011;0,4761;0,4728
355465 Torre de Pedra;...;0,4587;0,3944
355470 Torrinha;0,4651;0,4747;0,442
355475 Trabiju;...;0,4665;0,398
355480 Tremembé;0,5292;0,557;0,5386
355490 Três Fronteiras;0,4577;0,5049;0,4123
355495 Tuiuti;...;0,4637;0,3907
355500 Tupã;0,5872;0,57;0,5522
355510 Tupi Paulista;0,5285;0,5515;0,4946
355520 Turiúba;0,4302;0,4663;0,3665
355530 Turmalina;0,4889;0,4441;0,3987
355535 Ubarana;...;0,43;0,3594
355540 Ubatuba;0,5483;0,5849;0,5971
355550 Ubirajara;0,4328;0,4732;0,4219
355560 Uchoa;0,4906;0,4836;0,3993
355570 União Paulista;0,3926;0,4304;0,3615
355580 Urânia;0,5053;0,5144;0,4649
355590 Uru;0,4182;0,4672;0,4223
355600 Urupês;0,5225;0,5338;0,4235
355610 Valentim Gentil;0,4684;0,4707;0,3716
355620 Valinhos;0,4853;0,5417;0,5529
355630 Valparaíso;0,5158;0,5577;0,461
355635 Vargem;...;0,4857;0,3899
355640 Vargem Grande do Sul;0,4658;0,4781;0,4261
355645 Vargem Grande Paulista;0,5075;0,5229;0,5199
355650 Várzea Paulista;0,3798;0,4395;0,4325
355660 Vera Cruz;0,5049;0,5119;0,4497
355670 Vinhedo;0,4732;0,556;0,5448
355680 Viradouro;0,4512;0,5001;0,405
355690 Vista Alegre do Alto;0,4479;0,5461;0,3562
355695 Vitória Brasil;...;0,4553;0,3595
355700 Votorantim;0,4497;0,4844;0,4101
355710 Votuporanga;0,5343;0,5727;0,4991
355715 Zacarias;...;0,423;0,3923
Total;0,5598;0,5925;0,5768
Fonte: IBGE/Censos Demográficos 1991, 2000 e 2010;;;
